animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
aardvark,X,,,X,,,X,X,X,X,,,4,,,X,1
antelope,X,,,X,,,,X,X,X,,,4,X,,X,1
bass,,,X,,,X,X,X,X,,,X,0,X,,,4
bear,X,,,X,,,X,X,X,X,,,4,,,X,1
boar,X,,,X,,,X,X,X,X,,,4,X,,X,1
buffalo,X,,,X,,,,X,X,X,,,4,X,,X,1
calf,X,,,X,,,,X,X,X,,,4,X,X,X,1
carp,,,X,,,X,,X,X,,,X,0,X,X,,4
catfish,,,X,,,X,X,X,X,,,X,0,X,,,4
cavy,X,,,X,,,,X,X,X,,,4,,X,,1
cheetah,X,,,X,,,X,X,X,X,,,4,X,,X,1
chicken,,X,X,,X,,,,X,X,,,2,X,X,,2
chub,,,X,,,X,X,X,X,,,X,0,X,,,4
clam,,,X,,,,X,,,,,,0,,,,7
crab,,,X,,,X,X,,,,,,4,,,,7
crayfish,,,X,,,X,X,,,,,,6,,,,7
crow,,X,X,,X,,X,,X,X,,,2,X,,,2
deer,X,,,X,,,,X,X,X,,,4,X,,X,1
dogfish,,,X,,,X,X,X,X,,,X,0,X,,X,4
dolphin,,,,X,,X,X,X,X,X,,X,0,X,,X,1
dove,,X,X,,X,,,,X,X,,,2,X,X,,2
duck,,X,X,,X,X,,,X,X,,,2,X,,,2
elephant,X,,,X,,,,X,X,X,,,4,X,,X,1
flamingo,,X,X,,X,,,,X,X,,,2,X,,X,2
flea,,,X,,,,,,,X,,,6,,,,6
frog,,,X,,,X,X,X,X,X,,,4,,,,5
frog,,,X,,,X,X,X,X,X,X,,4,,,,5
fruitbat,X,,,X,X,,,X,X,X,,,2,X,,,1
giraffe,X,,,X,,,,X,X,X,,,4,X,,X,1
girl,X,,,X,,,X,X,X,X,,,2,,X,X,1
gnat,,,X,,X,,,,,X,,,6,,,,6
goat,X,,,X,,,,X,X,X,,,4,X,X,X,1
gorilla,X,,,X,,,,X,X,X,,,2,,,X,1
gull,,X,X,,X,X,X,,X,X,,,2,X,,,2
haddock,,,X,,,X,,X,X,,,X,0,X,,,4
hamster,X,,,X,,,,X,X,X,,,4,X,X,,1
hare,X,,,X,,,,X,X,X,,,4,X,,,1
hawk,,X,X,,X,,X,,X,X,,,2,X,,,2
herring,,,X,,,X,X,X,X,,,X,0,X,,,4
honeybee,X,,X,,X,,,,,X,X,,6,,X,,6
housefly,X,,X,,X,,,,,X,,,6,,,,6
kiwi,,X,X,,,,X,,X,X,,,2,X,,,2
ladybird,,,X,,X,,X,,,X,,,6,,,,6
lark,,X,X,,X,,,,X,X,,,2,X,,,2
leopard,X,,,X,,,X,X,X,X,,,4,X,,X,1
lion,X,,,X,,,X,X,X,X,,,4,X,,X,1
lobster,,,X,,,X,X,,,,,,6,,,,7
lynx,X,,,X,,,X,X,X,X,,,4,X,,X,1
mink,X,,,X,,X,X,X,X,X,,,4,X,,X,1
mole,X,,,X,,,X,X,X,X,,,4,X,,,1
mongoose,X,,,X,,,X,X,X,X,,,4,X,,X,1
moth,X,,X,,X,,,,,X,,,6,,,,6
newt,,,X,,,X,X,X,X,X,,,4,X,,,5
octopus,,,X,,,X,X,,,,,,8,,,X,7
opossum,X,,,X,,,X,X,X,X,,,4,X,,,1
oryx,X,,,X,,,,X,X,X,,,4,X,,X,1
ostrich,,X,X,,,,,,X,X,,,2,X,,X,2
